formula, size, total, solver, subsumption, reverse
P0.5N2L20.form170, 29, 2, 0, 0, 0, false
P0.5N2L20.form171, 23, 2, 0, 0, 0, false
P0.5N2L20.form172, 32, 2, 0, 0, 0, false
P0.5N2L20.form173, 32, 3, 0, 1, 0, false
P0.5N2L20.form174, 29, 3, 1, 0, 0, false
P0.5N2L20.form175, 23, 3, 1, 0, 0, false
P0.5N2L20.form176, 23, 2, 0, 0, 0, false
P0.5N2L20.form177, 26, 2, 0, 0, 0, false
P0.5N2L20.form178, 32, 2, 0, 0, 0, false
P0.5N2L20.form179, 26, 4, 0, 1, 0, false
P0.5N2L20.form180, 23, 4, 0, 1, 1, true
P0.5N2L20.form181, 23, 3, 0, 0, 0, false
P0.5N2L20.form182, 35, 2, 0, 0, 1, false
P0.5N2L20.form183, 32, 2, 0, 0, 0, false
P0.5N2L20.form184, 32, 2, 0, 0, 0, false
P0.5N2L20.form185, 29, 3, 0, 1, 0, false
P0.5N2L20.form186, 32, 3, 0, 1, 0, false
P0.5N2L20.form187, 29, 3, 0, 1, 0, false
P0.5N2L20.form188, 23, 2, 0, 0, 0, false
P0.5N2L20.form189, 23, 4, 0, 1, 0, true
P0.5N2L20.form190, 26, 3, 0, 1, 0, false
P0.5N2L20.form191, 32, 3, 0, 0, 3, true
P0.5N2L20.form192, 26, 3, 0, 1, 2, false
P0.5N2L20.form193, 29, 4, 0, 0, 0, false
P0.5N2L20.form194, 23, 3, 0, 0, 0, false
P0.5N2L20.form195, 32, 9, 0, 1, 1, false
P0.5N2L20.form196, 32, 3, 0, 1, 0, false
P0.5N2L20.form197, 26, 3, 0, 0, 0, false
P0.5N2L20.form198, 29, 2, 0, 0, 0, false
P0.5N2L20.form199, 23, 3, 0, 0, 0, false
P0.5N2L20.form200, 29, 4, 0, 2, 0, false
P0.5N2L20.form201, 23, 2, 0, 0, 0, false
P0.5N2L20.form202, 32, 4, 0, 1, 2, true
P0.5N2L20.form203, 29, 3, 1, 0, 0, false
P0.5N2L20.form204, 26, 2, 0, 0, 0, false
P0.5N2L20.form205, 29, 2, 0, 0, 0, false
P0.5N2L20.form206, 32, 4, 0, 0, 0, false
P0.5N2L20.form207, 29, 4, 0, 0, 0, false
P0.5N2L20.form208, 32, 4, 0, 0, 0, false
P0.5N2L20.form209, 29, 3, 0, 0, 0, false
P0.5N2L20.form210, 32, 3, 0, 0, 0, false
P0.5N2L20.form211, 23, 3, 1, 0, 0, false
P0.5N2L20.form212, 26, 2, 0, 0, 0, true
P0.5N2L20.form213, 23, 2, 0, 0, 0, false
P0.5N2L20.form214, 32, 2, 0, 0, 0, false
P0.5N2L20.form215, 29, 3, 0, 1, 0, true
P0.5N2L20.form216, 32, 4, 0, 1, 1, false
P0.5N2L20.form217, 26, 3, 0, 1, 0, false
P0.5N2L20.form218, 20, 2, 0, 0, 0, false
P0.5N2L20.form219, 29, 2, 0, 0, 0, false
P0.5N2L20.form220, 32, 2, 0, 0, 0, false
P0.5N2L20.form221, 23, 2, 0, 0, 0, false
P0.5N2L20.form222, 20, 3, 0, 0, 0, false
P0.5N2L20.form223, 26, 2, 0, 0, 0, false
P0.5N2L20.form224, 23, 1, 0, 0, 1, false
P0.5N2L20.form225, 29, 2, 0, 0, 0, false
P0.5N2L20.form226, 20, 2, 0, 0, 0, false
P0.5N2L20.form227, 29, 2, 0, 0, 0, false
P0.5N2L20.form228, 29, 3, 0, 1, 0, false
P0.5N2L20.form229, 26, 3, 0, 1, 0, false
P0.5N2L20.form230, 20, 3, 0, 0, 0, false
P0.5N2L20.form231, 29, 3, 0, 0, 0, false
P0.5N2L20.form232, 20, 3, 0, 0, 0, false
P0.5N2L20.form233, 23, 4, 0, 1, 0, false
P0.5N2L20.form234, 29, 3, 0, 1, 2, true
P0.5N2L20.form235, 29, 3, 0, 1, 0, false
P0.5N2L20.form236, 23, 2, 0, 0, 0, false
P0.5N2L20.form237, 29, 2, 0, 0, 0, false
P0.5N2L20.form238, 29, 3, 0, 1, 1, false
P0.5N2L20.form239, 26, 3, 0, 0, 0, false
P0.5N2L20.form240, 26, 2, 0, 0, 0, false
P0.5N2L20.form241, 29, 4, 0, 0, 0, false
P0.5N2L20.form242, 26, 4, 0, 0, 0, false
P0.5N2L20.form243, 26, 3, 0, 0, 0, false
P0.5N2L20.form244, 32, 3, 0, 0, 0, false
P0.5N2L20.form245, 32, 2, 0, 0, 0, false
P0.5N2L20.form246, 29, 2, 0, 0, 0, false
P0.5N2L20.form247, 26, 3, 0, 1, 3, true
P0.5N2L20.form248, 26, 2, 0, 0, 1, false
P0.5N2L20.form249, 23, 2, 0, 0, 0, false
P0.5N2L20.form250, 32, 2, 0, 0, 0, false
P0.5N2L20.form251, 26, 3, 0, 0, 1, true
P0.5N2L20.form252, 23, 2, 0, 0, 0, false
P0.5N2L20.form253, 26, 3, 0, 1, 2, true
P0.5N2L20.form254, 26, 2, 0, 0, 0, false
P0.5N2L20.form255, 26, 2, 0, 0, 0, true
P0.5N2L20.form256, 29, 3, 0, 1, 0, false
P0.5N2L20.form257, 29, 2, 0, 0, 0, false
P0.5N2L20.form258, 29, 3, 1, 0, 1, true
P0.5N2L20.form259, 29, 4, 0, 0, 0, false
P0.5N2L20.form260, 23, 3, 0, 1, 0, false
P0.5N2L20.form261, 29, 3, 0, 0, 0, false
P0.5N2L20.form262, 20, 4, 1, 0, 0, false
P0.5N2L20.form263, 20, 3, 0, 0, 0, false
P0.5N2L20.form264, 23, 2, 0, 0, 0, false
P0.5N2L20.form265, 32, 3, 0, 1, 0, false
P0.5N2L20.form266, 29, 3, 0, 0, 0, false
P0.5N2L20.form267, 29, 3, 0, 0, 0, false
P0.5N2L20.form268, 32, 2, 0, 0, 0, false
P0.5N2L20.form269, 26, 2, 0, 1, 0, false
P0.5N2L20.form270, 35, 3, 0, 0, 1, true
P0.5N2L20.form271, 23, 2, 0, 0, 0, false
P0.5N2L20.form272, 29, 4, 0, 1, 1, true
P0.5N2L20.form273, 26, 2, 0, 0, 0, false
P0.5N2L20.form274, 23, 2, 0, 0, 1, true
P0.5N2L20.form275, 35, 3, 0, 0, 0, false
P0.5N2L20.form276, 29, 7, 0, 5, 3, true
P0.5N2L20.form277, 29, 4, 0, 0, 0, false
P0.5N2L20.form278, 26, 4, 0, 0, 1, true
P0.5N2L20.form279, 32, 3, 0, 0, 0, false
P0.5N2L20.form280, 26, 3, 0, 0, 0, false
P0.5N2L20.form281, 23, 2, 0, 0, 1, false
P0.5N2L20.form282, 32, 2, 0, 0, 0, false
P0.5N2L20.form283, 29, 2, 0, 0, 0, false
P0.5N2L20.form284, 35, 2, 0, 0, 0, false
P0.5N2L20.form285, 26, 2, 0, 0, 1, true
P0.5N2L20.form286, 29, 3, 0, 1, 0, false
P0.5N2L20.form287, 26, 2, 0, 0, 0, false
P0.5N2L20.form288, 26, 2, 0, 0, 0, false
P0.5N2L20.form289, 23, 2, 0, 0, 0, false
P0.5N2L20.form290, 23, 2, 0, 0, 0, false
P0.5N2L20.form291, 26, 2, 0, 0, 1, false
P0.5N2L20.form292, 26, 2, 0, 0, 0, false
P0.5N2L20.form293, 26, 2, 0, 0, 0, false
P0.5N2L20.form294, 23, 3, 0, 1, 0, false
P0.5N2L20.form295, 26, 2, 0, 0, 0, false
P0.5N2L20.form296, 26, 2, 0, 0, 0, false
P0.5N2L20.form297, 20, 2, 0, 0, 0, false
P0.5N2L20.form298, 32, 2, 0, 0, 0, false
P0.5N2L20.form299, 23, 2, 0, 0, 0, false
P0.5N2L20.form300, 32, 6, 0, 1, 0, false
P0.5N2L20.form301, 20, 3, 0, 0, 1, true
P0.5N2L20.form302, 29, 3, 0, 0, 0, false
P0.5N2L20.form303, 26, 3, 0, 1, 0, false
P0.5N2L20.form304, 20, 2, 0, 0, 0, false
P0.5N2L20.form305, 32, 3, 0, 1, 0, false
P0.5N2L20.form306, 23, 2, 0, 0, 0, false
P0.5N2L20.form307, 23, 3, 0, 0, 0, false
P0.5N2L20.form308, 32, 2, 0, 0, 0, false
P0.5N2L20.form309, 32, 3, 0, 0, 0, false
P0.5N2L20.form310, 35, 2, 0, 0, 0, false
P0.5N2L20.form311, 26, 4, 0, 1, 0, false
P0.5N2L20.form312, 26, 4, 0, 1, 0, false
P0.5N2L20.form313, 23, 4, 0, 0, 0, false
P0.5N2L20.form314, 29, 2, 0, 0, 0, false
P0.5N2L20.form315, 29, 2, 0, 0, 1, false
P0.5N2L20.form316, 26, 14, 0, 0, 0, false
P0.5N2L20.form317, 35, 3, 0, 0, 0, false
P0.5N2L20.form318, 26, 3, 0, 0, 0, false
P0.5N2L20.form319, 23, 3, 0, 0, 1, false
P0.5N2L20.form320, 35, 4, 0, 1, 0, false
P0.5N2L20.form321, 26, 3, 0, 0, 0, false
P0.5N2L20.form322, 29, 2, 0, 0, 0, false
P0.5N2L20.form323, 20, 2, 0, 0, 1, true
P0.5N2L20.form324, 23, 2, 0, 0, 0, false
P0.5N2L20.form325, 26, 3, 0, 0, 0, true
P0.5N2L20.form326, 35, 3, 0, 0, 0, false
P0.5N2L20.form327, 20, 2, 0, 0, 0, false
P0.5N2L20.form328, 32, 2, 0, 0, 0, false
P0.5N2L20.form329, 29, 3, 0, 1, 0, false
P0.5N2L20.form330, 23, 2, 0, 0, 0, false
P0.5N2L20.form331, 23, 2, 0, 0, 1, false
P0.5N2L20.form332, 32, 3, 0, 1, 0, false
P0.5N2L20.form333, 20, 2, 0, 0, 0, false
P0.5N2L20.form334, 23, 3, 0, 0, 1, true
P0.5N2L20.form335, 32, 2, 0, 0, 1, false
P0.5N2L20.form336, 32, 2, 0, 0, 0, false
P0.5N2L20.form337, 23, 2, 0, 0, 0, false
P0.5N2L20.form338, 20, 2, 0, 0, 1, false
P0.5N2L20.form339, 20, 2, 0, 0, 0, false
P0.5N2L20.form340, 32, 3, 0, 1, 0, false
P0.5N2L20.form341, 29, 3, 0, 0, 0, false
P0.5N2L20.form342, 29, 2, 0, 0, 0, false
P0.5N2L20.form343, 29, 2, 0, 0, 0, false
P0.5N2L20.form344, 23, 6, 0, 3, 1, true
P0.5N2L20.form345, 26, 4, 0, 2, 2, true
P0.5N2L20.form346, 26, 3, 0, 1, 0, false
P0.5N2L20.form347, 23, 5, 0, 0, 0, true
P0.5N2L20.form348, 29, 3, 0, 1, 0, false
P0.5N2L20.form349, 29, 2, 0, 0, 0, false
P0.5N2L20.form350, 23, 2, 0, 0, 0, false
P0.5N2L20.form351, 29, 2, 0, 0, 0, false
P0.5N2L20.form352, 32, 2, 0, 0, 0, false
P0.5N2L20.form353, 29, 2, 0, 0, 0, false
P0.5N2L20.form354, 32, 2, 0, 0, 0, false
P0.5N2L20.form355, 29, 2, 0, 0, 0, false
P0.5N2L20.form356, 29, 3, 0, 0, 0, false
P0.5N2L20.form357, 23, 3, 0, 1, 0, false
P0.5N2L20.form358, 23, 2, 0, 0, 0, false
P0.5N2L20.form359, 26, 4, 0, 0, 0, false
P0.5N2L20.form360, 29, 4, 0, 1, 0, false
P0.5N2L20.form361, 29, 4, 0, 0, 0, false
P0.5N2L20.form362, 32, 3, 0, 0, 0, false
P0.5N2L20.form363, 32, 2, 0, 0, 0, false
P0.5N2L20.form364, 32, 3, 0, 1, 0, false
P0.5N2L20.form365, 23, 2, 0, 0, 0, false
P0.5N2L20.form366, 26, 2, 0, 0, 0, false
P0.5N2L20.form367, 20, 2, 0, 0, 1, false
P0.5N2L20.form368, 23, 2, 0, 0, 0, false
P0.5N2L20.form369, 29, 7, 0, 3, 2, true
P0.5N2L20.form370, 23, 6, 0, 2, 0, false
P0.5N2L20.form371, 29, 3, 0, 0, 0, true
P0.5N2L20.form372, 35, 3, 0, 1, 1, true
P0.5N2L20.form373, 32, 2, 0, 0, 0, false
P0.5N2L20.form374, 23, 3, 0, 0, 0, false
P0.5N2L20.form375, 26, 3, 0, 1, 0, false
P0.5N2L20.form376, 26, 3, 0, 0, 1, true
P0.5N2L20.form377, 20, 3, 0, 1, 0, false
P0.5N2L20.form378, 32, 2, 0, 0, 0, false
P0.5N2L20.form379, 29, 2, 0, 0, 0, false
P0.5N2L20.form380, 29, 3, 0, 1, 0, false
P0.5N2L20.form381, 29, 2, 0, 0, 0, false
P0.5N2L20.form382, 29, 3, 0, 0, 0, false
P0.5N2L20.form383, 29, 2, 0, 0, 0, false
P0.5N2L20.form384, 26, 3, 0, 1, 0, false
P0.5N2L20.form385, 23, 2, 0, 0, 0, false
P0.5N2L20.form386, 26, 2, 0, 0, 0, false
P0.5N2L20.form387, 26, 4, 0, 0, 0, false
P0.5N2L20.form388, 23, 3, 0, 0, 0, false
P0.5N2L20.form389, 32, 5, 0, 1, 0, false
P0.5N2L20.form390, 26, 3, 0, 0, 0, false
P0.5N2L20.form391, 26, 3, 1, 0, 0, false
P0.5N2L20.form392, 20, 2, 0, 0, 0, false
P0.5N2L20.form393, 26, 2, 0, 0, 0, false
P0.5N2L20.form394, 32, 2, 1, 0, 0, false
P0.5N2L20.form395, 26, 2, 0, 0, 0, false
P0.5N2L20.form396, 32, 2, 0, 0, 1, true
P0.5N2L20.form397, 29, 3, 0, 1, 1, true
P0.5N2L20.form398, 26, 2, 0, 0, 0, false
P0.5N2L20.form399, 23, 2, 0, 0, 0, false
P0.5N2L20.form400, 29, 3, 0, 1, 0, true
P0.5N2L20.form401, 29, 2, 0, 0, 0, false
P0.5N2L20.form402, 23, 2, 0, 0, 0, false
P0.5N2L20.form403, 26, 4, 0, 1, 1, false
P0.5N2L20.form404, 35, 3, 0, 0, 0, false
P0.5N2L20.form405, 29, 4, 0, 1, 1, true
P0.5N2L20.form406, 32, 3, 0, 1, 0, false
P0.5N2L20.form407, 26, 2, 0, 0, 0, false
P0.5N2L20.form408, 23, 2, 0, 0, 0, false
P0.5N2L20.form409, 26, 2, 0, 0, 0, false
P0.5N2L20.form410, 32, 2, 0, 0, 0, false
P0.5N2L20.form411, 29, 2, 0, 0, 0, false
P0.5N2L20.form412, 35, 5, 0, 3, 0, false
P0.5N2L20.form413, 29, 4, 0, 0, 1, true
P0.5N2L20.form414, 23, 3, 1, 0, 0, false
P0.5N2L20.form415, 26, 2, 0, 0, 1, true
P0.5N2L20.form416, 29, 3, 0, 0, 0, false
P0.5N2L20.form417, 29, 3, 0, 0, 0, false
P0.5N2L20.form418, 26, 3, 0, 1, 0, false
P0.5N2L20.form419, 32, 3, 0, 1, 0, false
P0.5N2L20.form420, 26, 2, 0, 0, 0, false
P0.5N2L20.form421, 26, 2, 0, 0, 0, false
P0.5N2L20.form422, 26, 3, 0, 0, 1, false
P0.5N2L20.form423, 23, 2, 0, 0, 1, true
P0.5N2L20.form424, 29, 3, 0, 1, 0, false
P0.5N2L20.form425, 26, 2, 0, 0, 0, false
P0.5N2L20.form426, 23, 4, 0, 1, 0, false
P0.5N2L20.form427, 35, 3, 0, 0, 0, false
P0.5N2L20.form428, 26, 3, 0, 0, 0, false
P0.5N2L20.form429, 32, 2, 0, 0, 0, false
P0.5N2L20.form430, 32, 3, 1, 0, 0, false
P0.5N2L20.form431, 20, 2, 0, 0, 1, true
P0.5N2L20.form432, 26, 2, 0, 0, 0, false
P0.5N2L20.form433, 23, 2, 0, 0, 0, false
P0.5N2L20.form434, 20, 3, 0, 1, 0, false
P0.5N2L20.form435, 32, 2, 0, 0, 0, false
P0.5N2L20.form436, 29, 2, 0, 0, 0, false
P0.5N2L20.form437, 26, 2, 0, 0, 0, false
P0.5N2L20.form438, 29, 2, 0, 0, 0, false
P0.5N2L20.form439, 23, 2, 0, 0, 2, true
P0.5N2L20.form440, 23, 2, 0, 0, 0, false
P0.5N2L20.form441, 23, 2, 0, 0, 0, false
P0.5N2L20.form442, 29, 2, 0, 0, 0, false
P0.5N2L20.form443, 20, 3, 0, 0, 0, false
P0.5N2L20.form444, 26, 2, 0, 0, 0, false
P0.5N2L20.form445, 23, 2, 0, 0, 0, false
P0.5N2L20.form446, 23, 3, 0, 1, 0, false
P0.5N2L20.form447, 23, 2, 0, 0, 0, false
P0.5N2L20.form448, 29, 2, 0, 0, 0, false
P0.5N2L20.form449, 26, 4, 0, 0, 0, false
P0.5N2L20.form450, 26, 2, 0, 0, 0, false
P0.5N2L20.form451, 29, 3, 0, 0, 0, false
P0.5N2L20.form452, 29, 3, 0, 1, 0, false
P0.5N2L20.form453, 26, 2, 0, 0, 1, true
P0.5N2L20.form454, 26, 6, 0, 2, 1, false
P0.5N2L20.form455, 23, 4, 0, 1, 0, false
P0.5N2L20.form456, 32, 3, 0, 1, 0, false
P0.5N2L20.form457, 26, 3, 0, 0, 0, false
P0.5N2L20.form458, 32, 3, 0, 0, 0, false
P0.5N2L20.form459, 23, 2, 0, 0, 0, false
P0.5N2L20.form460, 23, 3, 0, 1, 0, false
P0.5N2L20.form461, 26, 2, 0, 0, 0, false
P0.5N2L20.form462, 26, 3, 0, 0, 0, false
P0.5N2L20.form463, 32, 3, 0, 0, 0, false
P0.5N2L20.form464, 23, 2, 0, 0, 0, false
P0.5N2L20.form465, 23, 2, 0, 0, 0, false
P0.5N2L20.form466, 26, 2, 0, 0, 0, false
P0.5N2L20.form467, 23, 3, 1, 0, 0, false
P0.5N2L20.form468, 29, 2, 0, 0, 0, false
P0.5N2L20.form469, 32, 5, 0, 1, 1, true
P0.5N2L20.form470, 23, 4, 0, 0, 0, false
P0.5N2L20.form471, 23, 4, 0, 0, 0, false
P0.5N2L20.form472, 26, 4, 0, 0, 0, false
P0.5N2L20.form473, 32, 2, 0, 0, 0, false
P0.5N2L20.form474, 29, 3, 0, 0, 1, false
P0.5N2L20.form475, 29, 3, 0, 0, 0, false
P0.5N2L20.form476, 29, 3, 0, 0, 0, false
P0.5N2L20.form477, 23, 2, 0, 0, 0, false
P0.5N2L20.form478, 20, 2, 0, 0, 0, false
P0.5N2L20.form479, 23, 2, 0, 0, 0, false
P0.5N2L20.form480, 29, 2, 0, 0, 0, false
P0.5N2L20.form481, 29, 4, 1, 0, 0, true
P0.5N2L20.form482, 35, 4, 0, 0, 0, false
P0.5N2L20.form483, 32, 3, 0, 0, 0, false
P0.5N2L20.form484, 20, 3, 0, 0, 0, false
P0.5N2L20.form485, 23, 3, 0, 0, 0, false
P0.5N2L20.form486, 23, 5, 0, 1, 0, true
P0.5N2L20.form487, 26, 4, 0, 0, 0, false
P0.5N2L20.form488, 23, 3, 0, 0, 0, false
P0.5N2L20.form489, 23, 3, 0, 0, 0, true
P0.5N2L20.form490, 23, 2, 0, 0, 0, false
P0.5N2L20.form491, 26, 2, 0, 0, 0, false
P0.5N2L20.form492, 26, 2, 0, 0, 0, false
P0.5N2L20.form493, 23, 2, 0, 0, 0, false
P0.5N2L20.form494, 32, 2, 0, 0, 0, false
P0.5N2L20.form495, 29, 2, 0, 0, 1, false
P0.5N2L20.form496, 41, 2, 0, 0, 0, false
P0.5N2L20.form497, 32, 23, 0, 0, 2, true
P0.5N2L20.form498, 26, 2, 0, 0, 0, false
P0.5N2L20.form499, 26, 2, 0, 0, 0, false
P0.5N2L30.form, 48, 3, 0, 1, 0, false
P0.5N2L30.form1, 42, 4, 0, 2, 3, true
P0.5N2L30.form2, 42, 2, 0, 0, 0, false
P0.5N2L30.form3, 45, 3, 0, 0, 2, true
P0.5N2L30.form4, 39, 3, 0, 0, 0, false
P0.5N2L30.form5, 42, 2, 0, 0, 0, false
P0.5N2L30.form6, 36, 3, 0, 1, 2, true
P0.5N2L30.form7, 42, 3, 0, 1, 1, true
P0.5N2L30.form8, 36, 2, 0, 0, 0, false
P0.5N2L30.form9, 33, 2, 0, 0, 0, false
P0.5N2L30.form10, 36, 3, 1, 0, 0, false
P0.5N2L30.form11, 45, 3, 0, 0, 1, true
P0.5N2L30.form12, 42, 3, 0, 1, 0, false
P0.5N2L30.form13, 39, 3, 0, 0, 0, false
P0.5N2L30.form14, 45, 2, 0, 0, 0, false
P0.5N2L30.form15, 48, 2, 0, 0, 1, false
P0.5N2L30.form16, 45, 3, 0, 1, 0, false
P0.5N2L30.form17, 39, 3, 0, 0, 1, true
P0.5N2L30.form18, 57, 2, 0, 0, 1, false
P0.5N2L30.form19, 42, 4, 0, 0, 0, false
P0.5N2L30.form20, 42, 3, 0, 0, 0, false
P0.5N2L30.form21, 51, 5, 0, 1, 0, false
P0.5N2L30.form22, 39, 2, 0, 0, 1, false
P0.5N2L30.form23, 39, 2, 0, 0, 0, false
P0.5N2L30.form24, 36, 3, 0, 1, 0, false
P0.5N2L30.form25, 39, 2, 0, 0, 0, false
P0.5N2L30.form26, 39, 2, 0, 0, 1, true
P0.5N2L30.form27, 51, 2, 0, 0, 0, false
P0.5N2L30.form28, 36, 2, 0, 0, 0, false
P0.5N2L30.form29, 42, 3, 0, 0, 1, false
P0.5N2L30.form30, 39, 5, 0, 2, 3, true
P0.5N2L30.form31, 39, 3, 0, 0, 0, false
P0.5N2L30.form32, 39, 2, 0, 0, 0, false
P0.5N2L30.form33, 45, 2, 0, 0, 0, false
P0.5N2L30.form34, 36, 4, 0, 2, 3, true
P0.5N2L30.form35, 36, 2, 0, 0, 0, false
P0.5N2L30.form36, 45, 2, 0, 0, 1, false
P0.5N2L30.form37, 39, 2, 0, 0, 0, false
P0.5N2L30.form38, 39, 3, 1, 0, 0, false
P0.5N2L30.form39, 45, 3, 1, 0, 0, false
P0.5N2L30.form40, 36, 3, 0, 0, 3, true
P0.5N2L30.form41, 39, 2, 0, 0, 0, false
P0.5N2L30.form42, 39, 2, 0, 0, 0, false
P0.5N2L30.form43, 42, 2, 0, 0, 0, false
P0.5N2L30.form44, 42, 2, 0, 0, 0, false
P0.5N2L30.form45, 30, 3, 0, 1, 0, false
P0.5N2L30.form46, 42, 4, 0, 0, 0, false
P0.5N2L30.form47, 39, 3, 0, 0, 0, false
P0.5N2L30.form48, 39, 3, 0, 0, 0, false
P0.5N2L30.form49, 45, 2, 0, 0, 0, false
P0.5N2L30.form50, 48, 5, 0, 2, 3, true
P0.5N2L30.form51, 36, 3, 0, 0, 0, false
P0.5N2L30.form52, 48, 2, 0, 0, 0, false
P0.5N2L30.form53, 36, 2, 0, 0, 0, false
P0.5N2L30.form54, 33, 2, 1, 0, 3, true
P0.5N2L30.form55, 39, 3, 0, 0, 0, false
P0.5N2L30.form56, 45, 3, 0, 0, 0, false
P0.5N2L30.form57, 39, 3, 1, 0, 0, false
P0.5N2L30.form58, 36, 2, 0, 0, 1, false
P0.5N2L30.form59, 42, 3, 0, 0, 0, false
P0.5N2L30.form60, 48, 4, 0, 1, 0, false
P0.5N2L30.form61, 36, 4, 1, 0, 0, false
P0.5N2L30.form62, 30, 3, 0, 0, 0, false
P0.5N2L30.form63, 42, 7, 0, 2, 1, true
P0.5N2L30.form64, 42, 2, 0, 0, 0, false
P0.5N2L30.form65, 39, 2, 0, 0, 0, false
P0.5N2L30.form66, 48, 5, 0, 3, 1, false
P0.5N2L30.form67, 39, 3, 0, 0, 0, false
P0.5N2L30.form68, 36, 3, 1, 0, 0, false
P0.5N2L30.form69, 36, 3, 0, 0, 1, false
P0.5N2L30.form70, 39, 4, 0, 1, 0, false
P0.5N2L30.form71, 39, 4, 0, 0, 0, false
P0.5N2L30.form72, 42, 2, 0, 0, 0, false
P0.5N2L30.form73, 39, 4, 0, 1, 1, true
P0.5N2L30.form74, 51, 3, 0, 1, 0, false
P0.5N2L30.form75, 36, 3, 0, 1, 0, false
P0.5N2L30.form76, 48, 3, 0, 0, 0, false
P0.5N2L30.form77, 48, 3, 0, 1, 2, true
P0.5N2L30.form78, 39, 4, 0, 1, 0, false
P0.5N2L30.form79, 45, 3, 0, 1, 0, false
P0.5N2L30.form80, 51, 2, 0, 0, 1, false
P0.5N2L30.form81, 42, 2, 0, 0, 0, false
P0.5N2L30.form82, 45, 3, 0, 1, 0, false
P0.5N2L30.form83, 33, 2, 0, 0, 0, false
P0.5N2L30.form84, 36, 2, 0, 0, 6, true
P0.5N2L30.form85, 39, 2, 0, 0, 0, false
P0.5N2L30.form86, 36, 4, 0, 0, 0, false
P0.5N2L30.form87, 45, 2, 0, 0, 0, false
P0.5N2L30.form88, 39, 3, 0, 1, 0, false
P0.5N2L30.form89, 39, 9, 0, 5, 4, true
P0.5N2L30.form90, 48, 2, 0, 0, 0, false
P0.5N2L30.form91, 39, 3, 0, 0, 0, false
P0.5N2L30.form92, 39, 3, 0, 0, 0, false
P0.5N2L30.form93, 45, 6, 0, 2, 1, false
P0.5N2L30.form94, 39, 4, 0, 1, 0, false
P0.5N2L30.form95, 45, 4, 1, 1, 0, false
P0.5N2L30.form96, 36, 2, 0, 0, 0, false
P0.5N2L30.form97, 48, 2, 0, 0, 0, false
P0.5N2L30.form98, 33, 2, 0, 0, 0, false
P0.5N2L30.form99, 39, 2, 0, 0, 0, false
P0.5N2L30.form100, 51, 3, 0, 0, 0, false
P0.5N2L30.form101, 51, 2, 0, 0, 0, false
P0.5N2L30.form102, 39, 2, 0, 0, 0, false
P0.5N2L30.form103, 42, 4, 0, 2, 1, false
P0.5N2L30.form104, 39, 4, 0, 1, 1, false
P0.5N2L30.form105, 51, 2, 0, 0, 0, false
P0.5N2L30.form106, 39, 3, 0, 1, 1, false
P0.5N2L30.form107, 42, 4, 0, 1, 0, false
P0.5N2L30.form108, 45, 2, 0, 0, 0, false
P0.5N2L30.form109, 39, 2, 0, 0, 0, false
P0.5N2L30.form110, 42, 3, 0, 1, 0, false
P0.5N2L30.form111, 36, 5, 0, 0, 0, false
P0.5N2L30.form112, 30, 3, 0, 0, 0, false
P0.5N2L30.form113, 39, 3, 0, 0, 0, false
P0.5N2L30.form114, 42, 3, 0, 0, 0, false
P0.5N2L30.form115, 51, 9, 2, 2, 1, false
P0.5N2L30.form116, 48, 6, 2, 2, 0, false
P0.5N2L30.form117, 48, 2, 0, 0, 1, false
P0.5N2L30.form118, 39, 2, 0, 0, 0, false
P0.5N2L30.form119, 48, 5, 0, 1, 2, true
P0.5N2L30.form120, 45, 3, 0, 0, 0, false
P0.5N2L30.form121, 39, 3, 0, 1, 1, false
P0.5N2L30.form122, 48, 2, 0, 0, 0, false
P0.5N2L30.form123, 33, 2, 0, 0, 0, false
P0.5N2L30.form124, 33, 2, 0, 0, 0, false
P0.5N2L30.form125, 36, 3, 0, 1, 0, false
P0.5N2L30.form126, 36, 3, 0, 0, 0, false
P0.5N2L30.form127, 45, 2, 0, 0, 0, false
P0.5N2L30.form128, 45, 5, 0, 2, 0, false
P0.5N2L30.form129, 42, 3, 0, 0, 1, true
P0.5N2L30.form130, 36, 2, 0, 0, 0, false
P0.5N2L30.form131, 42, 3, 0, 1, 0, false
P0.5N2L30.form132, 45, 2, 0, 0, 0, false
P0.5N2L30.form133, 45, 2, 0, 0, 0, false
P0.5N2L30.form134, 48, 3, 0, 1, 0, false
P0.5N2L30.form135, 39, 4, 0, 0, 1, true
P0.5N2L30.form136, 30, 3, 0, 0, 0, false
P0.5N2L30.form137, 42, 2, 0, 0, 0, false
P0.5N2L30.form138, 39, 5, 0, 1, 0, false
P0.5N2L30.form139, 33, 3, 0, 0, 0, false
P0.5N2L30.form140, 36, 2, 0, 0, 0, false
P0.5N2L30.form141, 42, 2, 0, 0, 0, false
P0.5N2L30.form142, 39, 3, 0, 0, 0, false
P0.5N2L30.form143, 48, 4, 0, 1, 0, false
P0.5N2L30.form144, 39, 3, 0, 1, 0, false
P0.5N2L30.form145, 42, 2, 0, 0, 0, false
P0.5N2L30.form146, 48, 5, 0, 3, 0, false
P0.5N2L30.form147, 39, 2, 0, 0, 1, true
P0.5N2L30.form148, 42, 2, 0, 0, 0, false
P0.5N2L30.form149, 39, 2, 0, 0, 0, false
P0.5N2L30.form150, 45, 6, 0, 2, 2, false
P0.5N2L30.form151, 42, 3, 0, 0, 0, false
